Well name,,Ground Elevation(masl),Datum Elevation(masl),Surveyed Stickup(m),Total Depth of Piezometer(mbgs),Bottom of Piezometer Elevation(masl),Depth Interval of Screen(mbgs),Elevation Interval of Screen(masl),Depth Interval of Sand(mbgs),Elevation Interval of Sand(masl),Time(hh:mm),Observed Depth to Groundwater(mbtoc),Observed Depth to Groundwater(mbgs),Depth to Product(mbtoc),Observed Product Thickness(m),Corrected Product Thickness(m),Corrected Depth to Groundwater(mbtoc),Corrected Depth to Groundwater(mbgs),Observed Groundwater Surface Elevation(masl),Corrected Groundwater Surface Elevation(masl),Depth to Bottom of Well(mbtoc),Measured Stick up(m),Easting(m),Northing(m)
,,,,,,,,,,,,,,,,,,,,,,,,
06-62,07-Jun-2016,951.94,952.89,0.95,5.50,946.44,2.50 - 5.50,949.44 - 946.44,N/A,N/A,09:50,4.27,3.32,,N/A,N/A,4.27,3.32,948.62,948.62,6.34,N/M,645576.383,5867793.074
,18-Oct-2016,,,,,,,,,,11:55,2.15,1.20,,N/A,N/A,2.15,1.20,950.74,950.74,N/M,N/M,,
,30-May-2017,,,,,,,,,,15:45,3.36,2.41,,N/A,N/A,3.36,2.41,949.53,949.53,N/M,N/M,,
,18-Oct-2017,,,,,,,,,,13:05,2.31,1.36,,N/A,N/A,2.31,1.36,950.58,950.58,6.36,N/M,,
,15-May-2018,,,,,,,,,,17:25,4.87,3.92,,N/A,N/A,4.87,3.92,948.02,948.02,N/M,N/M,,
,10-Oct-2018,,,,,,,,,,16:25,3.61,2.66,,N/A,N/A,3.61,2.66,949.28,949.28,6.36,N/M,,
,,,,,,,,,,,,,,,,,,,,,,,,
06-63,07-Jun-2016,951.86,952.56,0.70,5.20,946.66,2.20 - 5.20,949.66 - 946.66,N/A,N/A,11:55,3.94,3.24,,N/A,N/A,3.94,3.24,948.62,948.62,5.97,N/M,645638.926,5867751.212
,18-Oct-2016,,,,,,,,,,12:10,3.26,2.56,,N/A,N/A,3.26,2.56,949.30,949.30,N/M,N/M,,
,30-May-2017,,,,,,,,,,14:40,3.22,2.52,,N/A,N/A,3.22,2.52,949.34,949.34,N/M,N/M,,
,18-Oct-2017,,,,,,,,,,12:45,2.80,2.10,,N/A,N/A,2.80,2.10,949.76,949.76,5.89,N/M,,
,15-May-2018,,,,,,,,,,16:40,3.99,3.29,,N/A,N/A,3.99,3.29,948.57,948.57,N/M,N/M,,
,10-Oct-2018,,,,,,,,,,15:30,3.39,2.69,,N/A,N/A,3.39,2.69,949.17,949.17,5.92,N/M,,
,,,,,,,,,,,,,,,,,,,,,,,,
10-67,07-Jun-2016,951.13,951.87,0.74,8.30,942.83,5.30 - 8.30,945.83 - 942.83,N/A,N/A,10:20,5.16,4.42,,N/A,N/A,5.16,4.42,946.71,946.71,9.16,N/M,645586.902,5867741.947
